#{"t_start": 1776947530.581552, "env_id": "None"}
r,l,t
283.376308,161,1699.964756
278.589187,166,1701.520063
287.24359,161,1703.031714
286.051213,178,1704.700916
278.864687,154,1706.141725
283.56302,157,1707.60824
272.129001,190,1709.401658
280.999806,185,1711.149067
284.360516,157,1712.641556
289.638527,161,1714.147736
274.579831,176,1715.802637
281.809308,187,1717.560913
276.698973,187,1719.310714
279.964193,190,1721.093056
285.917604,179,1722.767296
283.201643,154,1724.204601
288.935735,174,1725.828349
292.308299,174,1727.458506
279.658007,181,1729.152479
287.03601,190,1734.120028
284.179469,185,1735.856586
281.173984,157,1737.332027
273.414418,190,1739.120453
275.358581,176,1740.769643
276.717254,190,1742.542871
285.916382,161,1744.049176
283.738513,166,1745.609124
272.790791,190,1747.393509
281.363105,181,1749.091122
274.087101,190,1750.87147
272.168867,182,1752.580411
277.820293,190,1754.358836
281.460432,161,1755.869017
283.017588,157,1757.34196
280.462623,187,1759.096511
289.300755,174,1760.728741
285.758492,190,1762.514169
281.831373,181,1764.213011
280.920526,185,1765.940176
270.529006,190,1767.721474
279.003783,166,1769.27565
287.004486,178,1770.943445
279.848634,187,1772.695497
282.113993,154,1774.138435
276.798657,190,1775.919591
277.348417,176,1777.569968
278.792118,168,1779.14668
292.93565,174,1780.774897
276.031768,176,1782.425468
277.231761,190,1784.207598
288.266133,190,1785.996659
279.357749,190,1787.780823
278.271661,181,1789.480682
271.493373,190,1791.267642
275.972864,176,1792.917049
283.028976,181,1794.613711
281.105749,190,1796.388056
280.177644,168,1797.95864
277.133211,190,1799.738361
287.985783,174,1801.365527
273.856487,190,1803.148446
279.427502,190,1804.927717
287.139568,161,1806.436562
272.469933,190,1808.213118
279.830661,190,1809.992045
283.518397,157,1811.466826
282.061798,154,1812.914932
277.005527,190,1814.703681
278.95705,187,1816.45354
286.1656,190,1818.235664
274.483102,190,1820.02264
288.092852,174,1821.656107
273.823091,182,1823.36793
291.818344,174,1825.006026
282.470732,181,1829.862447
277.432129,187,1831.623263
277.713564,190,1833.405502
275.611121,168,1834.985056
284.21643,154,1836.431958
284.447483,190,1838.216698
279.197458,168,1839.78814
255.382609,190,1841.573484
275.179012,181,1843.267637
276.55184,190,1845.046312
283.096284,185,1846.778094
274.712723,179,1848.455117
276.523731,182,1850.158836
275.465057,190,1851.936372
280.13382,161,1853.44276
276.491062,182,1855.147319
284.615262,157,1856.618621
285.142812,190,1858.393718
283.575898,185,1860.124952
278.56435,190,1861.905787
276.907361,190,1863.699203
292.053823,161,1865.211881
283.4039,190,1866.993764
287.332322,161,1868.507052
281.877429,176,1870.160513
280.306761,168,1871.738287
275.391774,179,1873.427391
265.533711,190,1875.214388
270.751314,190,1876.999318
273.688279,190,1878.782641
282.600185,181,1880.480588
273.543657,190,1882.263863
278.474727,181,1883.9603
276.233154,179,1885.646733
277.063914,168,1887.230627
276.54148,176,1888.888329
285.930033,178,1890.5612
285.986113,185,1892.298056
276.023536,176,1893.948318
292.243463,179,1895.629744
279.666552,181,1897.332529
285.405225,174,1898.971406
284.217846,181,1900.676234
283.486857,166,1902.235641
277.513735,190,1904.021095
274.463685,190,1905.82496
280.810201,190,1907.608273
