#{"t_start": 1776869739.7235544, "env_id": "None"}
r,l,t
306.886053,176,1610.475643
311.468364,179,1612.203046
309.534845,174,1613.893724
309.495874,190,1615.726252
312.780334,181,1617.47526
304.875089,179,1619.206809
310.991099,190,1621.053131
307.842367,154,1622.551828
309.130336,190,1624.379962
306.567672,190,1626.213841
313.478682,168,1627.84254
310.506005,190,1629.679208
309.822467,187,1631.492282
309.281305,179,1633.22689
311.03376,166,1634.838055
315.949876,174,1636.524876
315.078826,174,1638.211596
308.954477,187,1640.012331
312.876514,190,1641.846759
312.177133,179,1643.589733
313.943381,190,1645.418931
311.36564,157,1646.946726
306.879895,182,1648.702417
307.829779,187,1650.507399
308.085342,179,1652.404608
292.988547,190,1654.238701
310.915202,157,1655.765532
307.722999,182,1657.51984
306.836621,157,1659.050024
312.312423,178,1660.768854
302.697434,190,1662.599673
309.818589,190,1664.474688
314.455749,179,1666.201265
311.986906,166,1667.812444
309.728708,190,1669.645514
316.548875,179,1671.375207
303.624709,190,1673.205472
311.386146,179,1674.929994
314.88586,174,1676.614855
307.550516,166,1678.224465
309.28008,190,1680.062963
316.301333,161,1681.630713
312.447101,161,1683.202845
307.710238,185,1685.005335
314.979125,178,1686.721874
301.765881,190,1688.549088
309.468791,190,1690.389146
308.011198,190,1692.227649
313.559985,168,1693.859224
316.573487,161,1695.424705
307.172172,157,1696.950993
308.206978,190,1698.784318
318.066281,174,1700.471127
312.924256,190,1702.30498
316.605888,161,1703.870156
308.160236,190,1708.789364
289.470731,190,1710.633968
313.782831,178,1712.360955
314.82945,190,1714.195675
291.264081,190,1716.030016
292.5525,190,1717.855402
297.551402,190,1719.684678
315.558659,179,1721.41673
311.732845,190,1723.25378
295.637729,190,1725.083073
307.950671,187,1726.892308
308.165745,190,1728.729544
310.06395,168,1730.369928
312.580142,179,1732.103262
305.421857,190,1733.945807
311.231074,179,1735.687324
309.92287,181,1737.45059
312.399109,190,1739.279743
306.677286,190,1741.116749
311.79349,168,1742.74496
312.615683,168,1744.375654
306.012838,190,1746.206155
314.142573,174,1747.889626
315.658286,179,1749.61703
307.124765,190,1751.450806
308.835004,190,1753.295579
317.18795,179,1755.025819
312.781467,190,1756.859591
311.737508,190,1758.692809
308.44369,190,1760.524599
315.066733,179,1762.258123
308.099035,166,1763.870647
303.220182,190,1765.70307
312.036892,168,1767.330885
314.035759,174,1769.014867
291.260147,190,1770.850262
311.396456,181,1772.604997
310.417705,185,1774.415738
309.688216,178,1776.147306
311.129199,185,1777.931098
310.101004,190,1779.758866
313.299875,179,1781.488584
316.79463,161,1783.055544
309.69024,154,1784.555754
313.682089,179,1786.290107
309.449988,154,1787.789321
311.006799,166,1789.404287
307.431807,154,1790.913513
307.585851,190,1792.746398
308.871311,190,1794.592673
308.967587,190,1796.53848
309.72647,179,1798.276495
309.08201,190,1800.27143
315.265891,174,1802.117024
299.750099,190,1804.113796
309.050598,154,1805.781374
312.418816,157,1810.529527
309.935227,154,1812.194263
310.890511,157,1813.8836
315.557825,161,1815.614955
308.244745,185,1817.563692
313.170635,190,1819.566486
316.699305,161,1821.299079
303.88327,182,1823.060693
311.686878,181,1824.814143
309.956241,190,1826.650195
311.633598,157,1828.17855
313.052518,168,1829.810282
315.073566,178,1831.532391
304.322556,176,1833.236939
310.388958,190,1835.070188
318.355366,161,1836.801199
310.397065,166,1838.414538
296.574728,190,1840.247889
311.619278,190,1842.100608
308.196803,154,1843.622593
310.385843,176,1845.332708
307.511263,185,1847.124865
308.694307,182,1848.884083
311.736484,166,1850.50371
311.901327,181,1852.258279
308.395381,185,1854.054271
310.606512,166,1855.66979
311.405821,157,1857.202029
308.692092,190,1859.038223
316.026269,190,1860.872677
309.235452,182,1862.634344
307.408918,179,1864.385354
311.404357,157,1865.913298
311.826618,179,1867.647288
312.113735,179,1869.542626
315.438499,174,1871.23633
315.747728,161,1872.807397
313.252768,166,1874.428022
311.290296,190,1876.268688
312.390453,168,1877.910872
306.876013,190,1879.751289
312.434566,178,1881.479183
309.399192,190,1883.321712
313.118769,190,1885.163932
308.592279,190,1887.018658
308.684912,176,1888.729721
310.850191,166,1890.346047
302.253666,190,1892.188291
312.664715,179,1893.925135
314.330738,178,1895.655245
313.492521,178,1897.378997
307.238407,182,1899.144615
312.519491,178,1900.87299
311.577855,190,1902.708475
309.488098,154,1904.220879
317.515109,174,1905.913303
315.995629,161,1907.501599
311.963454,190,1912.370709
312.654577,179,1914.107613
308.752309,166,1915.727532
310.828566,166,1917.344591
305.894544,187,1919.156334
311.371242,157,1920.685843
310.218219,187,1922.500045
311.688032,185,1924.294611
313.254712,178,1926.028715
310.469071,190,1927.864772
302.395477,190,1929.704515
314.136742,174,1931.407224
310.299561,185,1933.206272
309.895912,154,1934.717581
311.323756,176,1936.433846
313.706281,174,1938.126681
308.773577,154,1939.637456
312.861802,185,1941.428969
311.406149,157,1942.961667
312.97081,190,1944.800391
315.262856,190,1946.637326
307.027639,182,1948.407079
314.217525,174,1950.102587
310.103658,190,1951.945195
312.949881,190,1953.803542
306.625909,190,1955.642931
309.220159,190,1957.489764
312.506036,190,1959.335318
313.365264,178,1961.068778
310.498283,190,1962.918007
316.53287,174,1964.6236
312.234492,190,1966.472948
311.91116,190,1968.328571
312.042289,166,1969.941635
314.482337,174,1971.630391
311.924012,190,1973.468069
312.281696,168,1975.114718
306.259641,190,1976.94912
314.409119,161,1978.522032
314.587425,166,1980.138674
308.729384,190,1981.979044
314.004996,178,1983.707226
311.83488,179,1985.442808
311.399374,185,1987.233757
313.496102,178,1988.95913
