Año;Fecha;Riego_Optimo_FAO_mm
2008;26/06/2008;6,2691916104685035
2008;27/06/2008;6,589549458657042
2008;28/06/2008;5,091687041637703
2008;29/06/2008;6,934784408903196
2008;30/06/2008;6,5470848673983975
2008;01/07/2008;6,7245062083333496
2008;02/07/2008;6,65780490412696
2008;03/07/2008;0,0
2008;04/07/2008;3,404171011757911
2008;05/07/2008;7,1403639576133004
2008;06/07/2008;6,183884799633667
2008;07/07/2008;0,0
2008;08/07/2008;1,4544025318164022
2008;09/07/2008;4,763075336163594
2008;10/07/2008;8,946683195128646
2008;11/07/2008;6,661308706504722
2008;12/07/2008;0,7911592126621771
2008;13/07/2008;2,323616420284525
2008;14/07/2008;3,1255670854246125
2008;15/07/2008;9,368210615429035
2008;16/07/2008;8,412337726438079
2008;17/07/2008;9,508068751218303
2008;18/07/2008;8,190107525356783
2008;19/07/2008;7,33392896079522
2008;20/07/2008;8,477019225972363
2008;21/07/2008;1,336734988433106
2008;22/07/2008;6,945836190231464
2008;23/07/2008;5,631036887530554
2008;24/07/2008;7,731286415550243
2008;25/07/2008;0,3837419649286291
2008;26/07/2008;6,702239390893917
2008;27/07/2008;5,3672356792591716
2008;28/07/2008;5,656438184116045
2008;29/07/2008;3,2067351269658495
2008;30/07/2008;4,090704300313442
2008;31/07/2008;6,500656216198934
2008;01/08/2008;2,5940820819702166
2008;02/08/2008;6,935223158286985
2008;03/08/2008;5,644577323046585
2008;04/08/2008;5,933270177441489
2008;05/08/2008;5,5095295898928685
2008;06/08/2008;6,379927187591804
2008;07/08/2008;3,1672558957894337
2008;08/08/2008;4,629239446016152
2008;09/08/2008;1,7742232137068994
2008;10/08/2008;6,104644702184096
2008;11/08/2008;6,8636864518537255
2008;12/08/2008;2,3480206591745802
2008;13/08/2008;3,2954726144032955
2008;14/08/2008;2,138069755352731
2008;15/08/2008;2,710868277098553
2008;16/08/2008;0,0
2008;17/08/2008;0,0
2008;18/08/2008;5,6737732500694005
2008;19/08/2008;4,469510284281237
2008;20/08/2008;2,5455212031668606
2008;21/08/2008;1,5919417420787614
2008;22/08/2008;4,273640366160874
2008;23/08/2008;3,4493788557222698
2008;24/08/2008;0,08126887948917716
2008;25/08/2008;5,135536039623141
2008;26/08/2008;2,158036182809531
2008;27/08/2008;3,4691733609936044
2008;28/08/2008;3,927902413247569
2008;29/08/2008;2,2656062085507633
2008;30/08/2008;2,568633300571558
2008;31/08/2008;0,8118566508448799
2008;01/09/2008;1,4200973780897113
2008;02/09/2008;2,041496567089526
2008;03/09/2008;0,0
2009;22/04/2009;25,0
2009;23/04/2009;25,0
2009;24/04/2009;25,0
2009;25/04/2009;25,0
2009;26/04/2009;12,187000000000006
2009;27/04/2009;4,440000000000005
2009;28/04/2009;1,0289999999999857
2009;29/04/2009;6,023999999999997
2009;30/04/2009;4,5279512975799285
2009;01/05/2009;1,6225396015479001
2009;02/05/2009;6,910491327942178
2009;03/05/2009;5,575671507079585
2009;04/05/2009;6,32074051917999
2009;05/05/2009;4,423231927698067
2009;06/05/2009;6,0974574471115055
2009;07/05/2009;9,366203536950955
2009;08/05/2009;5,886529688253747
2009;09/05/2009;4,032800835070929
2009;10/05/2009;3,8760552916652418
2009;11/05/2009;0,0
2009;12/05/2009;0,0
